Year	Month	Day	SimDay	Season	GDD	TotGDD	Root Depth	CC	RefCC	Bio	RefBio	HI	HIadj	Yield	
2021	 9	 3	       1	1	 0.00	  0.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	 4	       2	1	13.00	 13.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	 5	       3	1	13.00	 26.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	 6	       4	1	13.00	 39.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	 7	       5	1	13.00	 52.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	 8	       6	1	13.00	 65.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	 9	       7	1	13.00	 78.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	10	       8	1	13.00	 91.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	11	       9	1	13.00	104.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	12	      10	1	13.00	117.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	13	      11	1	13.00	130.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	14	      12	1	13.00	143.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	15	      13	1	13.00	156.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	16	      14	1	13.00	169.00	0.30	 0.000	 0.000	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	17	      15	1	13.00	182.00	0.30	 0.000	 0.007	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	18	      16	1	13.00	195.00	0.30	 0.000	 0.007	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	19	      17	1	13.00	208.00	0.30	 0.000	 0.008	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	20	      18	1	13.00	221.00	0.30	 0.000	 0.009	  0.00	   NaN	0.0000	0.0000	  0.00	
2021	 9	21	      19	1	13.00	234.00	0.30	 0.000	 0.010	  0.00	   NaN	0.0000	0.0000	  0.00	
