Year	Month	Day	SimDay	Season	0.05m	0.15m	0.25m	0.375m	0.525m	0.7m	0.9m	1.125m	1.375m	1.625m	1.875m	2.15m	
2021	 3	 6	       1	1	0.4406	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	 7	       2	1	0.4143	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	 8	       3	1	0.3927	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	 9	       4	1	0.3760	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	10	       5	1	0.3604	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	11	       6	1	0.3553	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	12	       7	1	0.3433	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	13	       8	1	0.3298	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	14	       9	1	0.3833	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	15	      10	1	0.3972	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	16	      11	1	0.4743	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 3	17	      12	1	0.4598	0.4650	0.4635	0.4626	0.4623	0.4621	0.4621	0.4621	0.4620	0.4620	0.4620	0.4620	
2021	 3	18	      13	1	0.4553	0.4633	0.4627	0.4627	0.4624	0.4623	0.4622	0.4621	0.4621	0.4621	0.4621	0.4620	
2021	 3	19	      14	1	0.4652	0.4626	0.4623	0.4623	0.4623	0.4622	0.4622	0.4622	0.4621	0.4621	0.4621	0.4621	
2021	 3	20	      15	1	0.5757	0.4630	0.4625	0.4623	0.4622	0.4622	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	
2021	 3	21	      16	1	0.4837	0.4907	0.4770	0.4685	0.4648	0.4636	0.4629	0.4626	0.4624	0.4623	0.4622	0.4622	
2021	 3	22	      17	1	0.4340	0.4743	0.4729	0.4703	0.4671	0.4654	0.4642	0.4636	0.4631	0.4628	0.4627	0.4625	
2021	 3	23	      18	1	0.4825	0.4673	0.4667	0.4656	0.4655	0.4649	0.4643	0.4638	0.4634	0.4631	0.4629	0.4628	
2021	 3	24	      19	1	0.4482	0.4693	0.4657	0.4647	0.4641	0.4638	0.4636	0.4634	0.4632	0.4630	0.4629	0.4628	
2021	 3	25	      20	1	0.5015	0.4652	0.4636	0.4636	0.4634	0.4632	0.4630	0.4629	0.4628	0.4627	0.4626	0.4626	
2021	 3	26	      21	1	0.5375	0.4953	0.4676	0.4648	0.4635	0.4631	0.4629	0.4627	0.4626	0.4625	0.4625	0.4624	
2021	 3	27	      22	1	0.4601	0.4934	0.4796	0.4732	0.4689	0.4647	0.4638	0.4634	0.4632	0.4627	0.4627	0.4625	
2021	 3	28	      23	1	0.4295	0.4754	0.4696	0.4691	0.4678	0.4666	0.4651	0.4643	0.4637	0.4633	0.4631	0.4629	
2021	 3	29	      24	1	0.4035	0.4678	0.4653	0.4651	0.4651	0.4648	0.4645	0.4641	0.4637	0.4634	0.4632	0.4630	
2021	 3	30	      25	1	0.3841	0.4645	0.4634	0.4633	0.4633	0.4633	0.4633	0.4632	0.4631	0.4630	0.4629	0.4628	
2021	 3	31	      26	1	0.3697	0.4631	0.4626	0.4626	0.4626	0.4626	0.4626	0.4626	0.4626	0.4625	0.4625	0.4625	
2021	 4	 1	      27	1	0.4857	0.4625	0.4623	0.4623	0.4623	0.4623	0.4623	0.4623	0.4623	0.4623	0.4622	0.4622	
2021	 4	 2	      28	1	0.4267	0.4692	0.4672	0.4633	0.4630	0.4624	0.4623	0.4622	0.4622	0.4622	0.4622	0.4621	
2021	 4	 3	      29	1	0.3840	0.4651	0.4642	0.4638	0.4631	0.4628	0.4625	0.4624	0.4623	0.4622	0.4622	0.4622	
2021	 4	 4	      30	1	0.3635	0.4634	0.4630	0.4628	0.4628	0.4626	0.4625	0.4624	0.4623	0.4623	0.4622	0.4622	
2021	 4	 5	      31	1	0.4591	0.4626	0.4624	0.4623	0.4623	0.4623	0.4623	0.4623	0.4622	0.4622	0.4622	0.4622	
2021	 4	 6	      32	1	0.4174	0.4623	0.4622	0.4622	0.4622	0.4622	0.4622	0.4621	0.4621	0.4621	0.4621	0.4621	
2021	 4	 7	      33	1	0.3989	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	
2021	 4	 8	      34	1	0.5573	0.4913	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 4	 9	      35	1	0.4653	0.4973	0.4806	0.4738	0.4672	0.4639	0.4635	0.4627	0.4626	0.4623	0.4623	0.4622	
2021	 4	10	      36	1	0.5077	0.4771	0.4704	0.4702	0.4684	0.4666	0.4649	0.4641	0.4635	0.4631	0.4629	0.4627	
2021	 4	11	      37	1	0.5519	0.5170	0.4710	0.4679	0.4665	0.4658	0.4650	0.4644	0.4639	0.4635	0.4633	0.4631	
2021	 4	12	      38	1	0.4573	0.4990	0.4877	0.4756	0.4693	0.4670	0.4655	0.4647	0.4641	0.4637	0.4635	0.4633	
2021	 4	13	      39	1	0.4650	0.4778	0.4730	0.4711	0.4692	0.4674	0.4660	0.4651	0.4644	0.4640	0.4637	0.4635	
2021	 4	14	      40	1	0.4699	0.4688	0.4668	0.4663	0.4661	0.4657	0.4651	0.4646	0.4642	0.4639	0.4636	0.4634	
2021	 4	15	      41	1	0.4265	0.4654	0.4650	0.4645	0.4641	0.4640	0.4638	0.4636	0.4635	0.4633	0.4632	0.4631	
2021	 4	16	      42	1	0.3903	0.4635	0.4633	0.4631	0.4630	0.4630	0.4629	0.4629	0.4628	0.4628	0.4627	0.4627	
2021	 4	17	      43	1	0.3605	0.4627	0.4626	0.4625	0.4624	0.4624	0.4624	0.4624	0.4624	0.4624	0.4624	0.4624	
2021	 4	18	      44	1	0.3380	0.4623	0.4623	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	0.4622	
2021	 4	19	      45	1	0.3155	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	0.4621	
2021	 4	20	      46	1	0.2798	0.4621	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 4	21	      47	1	0.2541	0.4580	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
2021	 4	22	      48	1	0.2507	0.4466	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	0.4620	
