Year	Month	Day	SimDay	Season	wRZ	zGW	wSurf	Irr	Infl	RO	DP	CR	GWin	Es	EsX	Tr	TrX	
2021	 3	 6	       1	1	136.46	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 2.64	 2.86	 0.00	 0.00	
2021	 3	 7	       2	1	133.83	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 2.63	 3.52	 0.00	 0.00	
2021	 3	 8	       3	1	131.67	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 2.16	 3.52	 0.00	 0.00	
2021	 3	 9	       4	1	130.00	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 1.67	 3.19	 0.00	 0.00	
2021	 3	10	       5	1	128.44	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 1.56	 3.41	 0.00	 0.00	
2021	 3	11	       6	1	127.93	-999.00	  0.00	 0.00	 2.00	 0.00	 0.00	 0.00	 0.00	 2.51	 2.53	 0.00	 0.00	
2021	 3	12	       7	1	126.73	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 1.70	 1.76	 0.00	 0.00	
2021	 3	13	       8	1	125.38	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 1.86	 1.98	 0.00	 0.00	
2021	 3	14	       9	1	130.73	-999.00	  0.00	 0.00	 8.43	 0.07	 0.00	 0.00	 0.00	 3.08	 3.08	 0.00	 0.00	
2021	 3	15	      10	1	132.12	-999.00	  0.00	 0.00	 3.70	 0.00	 0.00	 0.00	 0.00	 2.31	 2.31	 0.00	 0.00	
2021	 3	16	      11	1	139.83	-999.00	  0.00	 0.00	 9.47	 0.53	 0.00	 0.00	 0.00	 1.76	 1.76	 0.00	 0.00	
2021	 3	17	      12	1	138.83	-999.00	  0.00	 0.00	 2.96	 0.04	 0.03	 0.00	 0.00	 3.71	 3.74	 0.00	 0.00	
2021	 3	18	      13	1	138.13	-999.00	  0.00	 0.00	 2.96	 0.04	 0.11	 0.00	 0.00	 3.40	 3.41	 0.00	 0.00	
2021	 3	19	      14	1	148.25	-999.00	  0.00	 0.00	 2.97	 0.03	 0.17	 0.00	 0.00	 1.98	 1.98	 0.00	 0.00	
2021	 3	20	      15	1	163.99	-999.00	  0.00	 0.00	12.33	 4.67	 0.17	 0.00	 0.00	 1.09	 1.09	 0.01	 0.01	
2021	 3	21	      16	1	163.88	-999.00	  0.00	 0.00	 0.00	 0.00	 0.46	 0.00	 0.00	 2.39	 2.39	 0.03	 0.03	
2021	 3	22	      17	1	161.63	-999.00	  0.00	 0.00	 0.00	 0.00	 1.28	 0.00	 0.00	 3.68	 3.68	 0.06	 0.06	
2021	 3	23	      18	1	169.59	-999.00	  0.00	 0.00	 8.37	 0.83	 1.99	 0.00	 0.00	 3.46	 3.46	 0.06	 0.06	
2021	 3	24	      19	1	170.86	-999.00	  0.00	 0.00	 1.20	 0.00	 2.01	 0.00	 0.00	 3.39	 3.56	 0.07	 0.07	
2021	 3	25	      20	1	180.12	-999.00	  0.00	 0.00	10.71	 2.29	 1.55	 0.00	 0.00	 5.27	 5.27	 0.12	 0.12	
2021	 3	26	      21	1	191.87	-999.00	  0.00	 0.00	13.26	 5.74	 1.14	 0.00	 0.00	 5.04	 5.04	 0.13	 0.13	
2021	 3	27	      22	1	190.62	-999.00	  0.00	 0.00	 1.00	 0.00	 1.37	 0.00	 0.00	 3.23	 3.42	 0.10	 0.10	
2021	 3	28	      23	1	189.06	-999.00	  0.00	 0.00	 0.00	 0.00	 2.24	 0.00	 0.00	 2.92	 4.15	 0.13	 0.13	
2021	 3	29	      24	1	184.82	-999.00	  0.00	 0.00	 0.00	 0.00	 2.64	 0.00	 0.00	 2.44	 4.45	 0.16	 0.16	
2021	 3	30	      25	1	186.81	-999.00	  0.00	 0.00	 0.00	 0.00	 2.17	 0.00	 0.00	 1.77	 3.90	 0.16	 0.16	
2021	 3	31	      26	1	189.68	-999.00	  0.00	 0.00	 0.00	 0.00	 1.35	 0.00	 0.00	 1.29	 3.25	 0.16	 0.16	
2021	 4	 1	      27	1	205.76	-999.00	  0.00	 0.00	16.22	 1.78	 0.70	 0.00	 0.00	 4.38	 4.38	 0.24	 0.24	
2021	 4	 2	      28	1	205.81	-999.00	  0.00	 0.00	 0.80	 0.00	 0.40	 0.00	 0.00	 4.61	 5.28	 0.33	 0.33	
2021	 4	 3	      29	1	205.54	-999.00	  0.00	 0.00	 1.30	 0.00	 0.39	 0.00	 0.00	 5.16	 5.85	 0.41	 0.41	
2021	 4	 4	      30	1	203.03	-999.00	  0.00	 0.00	 2.00	 0.00	 0.48	 0.00	 0.00	 3.74	 3.86	 0.31	 0.31	
2021	 4	 5	      31	1	217.01	-999.00	  0.00	 0.00	13.08	 0.92	 0.44	 0.00	 0.00	 3.22	 3.22	 0.30	 0.30	
2021	 4	 6	      32	1	217.37	-999.00	  0.00	 0.00	 0.00	 0.00	 0.31	 0.00	 0.00	 3.78	 3.78	 0.40	 0.40	
2021	 4	 7	      33	1	220.10	-999.00	  0.00	 0.00	 1.00	 0.00	 0.17	 0.00	 0.00	 2.53	 2.65	 0.32	 0.32	
2021	 4	 8	      34	1	238.85	-999.00	  0.00	 0.00	21.95	 7.05	 0.08	 0.00	 0.00	 2.80	 2.80	 0.39	 0.39	
2021	 4	 9	      35	1	238.74	-999.00	  0.00	 0.00	 1.00	 0.00	 0.47	 0.00	 0.00	 3.07	 3.22	 0.51	 0.51	
2021	 4	10	      36	1	244.15	-999.00	  0.00	 0.00	 7.94	 1.36	 1.68	 0.00	 0.00	 2.97	 2.97	 0.54	 0.54	
2021	 4	11	      37	1	252.17	-999.00	  0.00	 0.00	14.52	 7.48	 2.63	 0.00	 0.00	 3.08	 3.08	 0.65	 0.65	
2021	 4	12	      38	1	248.57	-999.00	  0.00	 0.00	 0.00	 0.00	 3.21	 0.00	 0.00	 3.35	 3.35	 0.82	 0.82	
2021	 4	13	      39	1	249.77	-999.00	  0.00	 0.00	 4.72	 0.28	 3.71	 0.00	 0.00	 3.08	 3.08	 0.87	 0.87	
2021	 4	14	      40	1	252.45	-999.00	  0.00	 0.00	 4.72	 0.28	 3.66	 0.00	 0.00	 3.06	 3.06	 1.00	 1.00	
2021	 4	15	      41	1	247.14	-999.00	  0.00	 0.00	 0.00	 0.00	 2.89	 0.00	 0.00	 2.80	 2.85	 1.09	 1.09	
2021	 4	16	      42	1	247.47	-999.00	  0.00	 0.00	 0.00	 0.00	 1.86	 0.00	 0.00	 2.27	 3.03	 1.36	 1.36	
2021	 4	17	      43	1	248.81	-999.00	  0.00	 0.00	 0.00	 0.00	 1.03	 0.00	 0.00	 1.54	 2.72	 1.44	 1.44	
2021	 4	18	      44	1	246.43	-999.00	  0.00	 0.00	 0.00	 0.00	 0.51	 0.00	 0.00	 0.94	 2.09	 1.31	 1.31	
2021	 4	19	      45	1	248.74	-999.00	  0.00	 0.00	 0.00	 0.00	 0.24	 0.00	 0.00	 0.75	 2.00	 1.50	 1.50	
2021	 4	20	      46	1	245.14	-999.00	  0.00	 0.00	 1.00	 0.00	 0.11	 0.00	 0.00	 2.23	 2.58	 2.34	 2.34	
2021	 4	21	      47	1	246.77	-999.00	  0.00	 0.00	 0.00	 0.00	 0.05	 0.00	 0.00	 0.96	 1.81	 2.01	 2.01	
2021	 4	22	      48	1	249.91	-999.00	  0.00	 0.00	 0.00	 0.00	 0.02	 0.00	 0.00	 0.33	 0.82	 1.14	 1.14	
2021	 4	23	      49	1	246.98	-999.00	  0.00	 0.00	 0.00	 0.00	 0.01	 0.00	 0.00	 0.50	 1.39	 2.43	 2.43	
2021	 4	24	      50	1	255.22	-999.00	  0.00	 0.00	 7.00	 0.00	 0.00	 0.00	 0.00	 1.07	 1.07	 2.31	 2.31	
2021	 4	25	      51	1	260.03	-999.00	  0.00	 8.39	 8.95	 0.00	 0.00	 0.00	 0.00	 1.15	 1.15	 3.00	 3.00	
2021	 4	26	      52	1	255.99	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.98	 0.98	 3.05	 3.05	
2021	 4	27	      53	1	260.03	-999.00	  0.00	 0.00	 6.00	 0.00	 0.00	 0.00	 0.00	 0.42	 0.42	 1.54	 1.54	
2021	 4	28	      54	1	266.38	-999.00	  0.00	 8.68	10.81	 0.00	 0.00	 0.00	 0.00	 0.86	 0.86	 3.61	 3.61	
2021	 4	29	      55	1	284.17	-999.00	  0.00	 0.00	22.48	 5.52	 0.00	 0.00	 0.00	 0.80	 0.80	 3.88	 3.88	
2021	 4	30	      56	1	286.87	-999.00	  0.00	 0.00	 8.41	 1.59	 0.16	 0.00	 0.00	 0.78	 0.78	 4.33	 4.33	
2021	 5	 1	      57	1	291.07	-999.00	  0.00	 0.00	10.23	 2.77	 0.77	 0.00	 0.00	 0.57	 0.57	 3.57	 3.57	
2021	 5	 2	      58	1	293.90	-999.00	  0.00	 0.00	10.23	 2.77	 1.92	 0.00	 0.00	 0.47	 0.47	 3.34	 3.34	
2021	 5	 3	      59	1	303.84	-999.00	  0.00	 0.00	16.93	11.87	 3.10	 0.00	 0.00	 0.32	 0.32	 2.51	 2.51	
2021	 5	 4	      60	1	296.21	-999.00	  0.00	 0.00	 4.97	 0.33	 4.91	 0.00	 0.00	 0.47	 0.47	 4.10	 4.10	
2021	 5	 5	      61	1	286.88	-999.00	  0.00	 0.00	 4.30	 0.20	 6.86	 0.00	 0.00	 0.47	 0.47	 4.53	 4.53	
2021	 5	 6	      62	1	282.22	-999.00	  0.00	 0.00	 5.53	 0.47	 7.12	 0.00	 0.00	 0.42	 0.42	 4.47	 4.47	
2021	 5	 7	      63	1	276.13	-999.00	  0.00	 0.00	 1.00	 0.00	 5.46	 0.00	 0.00	 0.36	 0.36	 4.11	 4.11	
