Date	Tmax(C)	Tmin(C)	ET0	Rain(mm)	Irrigation(mm)	depl	ks	ETcadj	ETc	eff_rain	sp_crcoeff	sp_rootdepth	d_TAW	d_MAD	WC1	WC2	Total rain	Total irrigation	Yiel(ton/ha)	WUE (Kg/m3)	IWUE (Kg/m3)	Prescription(mm)
2021-03-06	15.00	6.00	2.60	0.50	0.00	0.00	1.33	1.73	1.30	0.47	0.50	0.00	0.02	0.01	46.37	46.37	0.50	0.00	5.47	10940.00	inf	0.00
2021-03-07	17.00	6.00	3.20	0.00	0.00	0.00	1.33	2.13	1.60	0.00	0.50	0.00	0.02	0.01	46.37	46.37	0.50	0.00	5.46	10920.00	inf	0.00
2021-03-08	13.00	8.00	3.20	0.00	0.00	0.00	1.33	2.13	1.60	0.00	0.50	0.00	0.02	0.01	46.37	46.37	0.50	0.00	5.46	10920.00	inf	0.00
2021-03-09	14.00	4.00	2.90	0.00	0.00	0.00	1.33	1.93	1.45	0.00	0.50	0.00	0.02	0.01	46.37	46.37	0.50	0.00	5.45	10900.00	inf	0.00
2021-03-10	14.00	9.00	3.10	0.00	0.00	0.00	1.33	2.07	1.55	0.00	0.50	0.00	0.64	0.16	46.37	46.37	0.50	0.00	5.45	10900.00	inf	0.00
2021-03-11	14.00	8.00	2.30	2.00	0.00	0.00	1.33	1.53	1.15	0.91	0.50	0.01	1.28	0.32	46.37	46.37	2.50	0.00	5.14	2056.00	inf	0.00
2021-03-12	12.00	6.00	1.60	0.50	0.00	0.00	1.33	1.07	0.80	0.41	0.50	0.01	1.92	0.48	46.37	46.37	3.00	0.00	5.13	1710.00	inf	0.00
2021-03-13	14.00	6.00	1.80	0.50	0.00	0.00	1.33	1.20	0.90	0.43	0.50	0.01	2.56	0.64	46.37	46.37	3.50	0.00	5.09	1454.29	inf	0.00
2021-03-14	16.00	6.00	2.80	8.50	0.00	0.00	1.33	1.87	1.40	1.35	0.50	0.02	3.20	0.80	46.37	46.37	12.00	0.00	5.11	425.83	inf	0.00
2021-03-15	12.00	9.00	2.10	3.70	0.00	0.00	1.33	1.40	1.05	0.95	0.50	0.02	3.84	0.96	46.37	46.37	15.70	0.00	5.32	338.85	inf	0.00
2021-03-16	15.00	8.00	1.60	10.00	0.00	0.00	1.33	1.07	0.80	0.81	0.50	0.02	4.48	1.12	46.37	46.37	25.70	0.00	5.41	210.51	inf	0.00
2021-03-17	12.00	7.00	3.40	3.00	0.00	0.00	1.33	2.27	1.70	1.35	0.50	0.03	5.12	1.28	46.65	46.51	28.70	0.00	5.74	200.00	inf	0.00
2021-03-18	13.00	4.00	3.10	3.00	0.00	0.00	1.33	2.07	1.55	1.26	0.50	0.03	5.76	1.44	46.50	46.43	31.70	0.00	5.72	180.44	inf	0.00
2021-03-19	13.00	5.00	1.80	3.00	0.00	0.00	1.33	1.20	0.90	0.81	0.50	0.03	6.40	1.60	46.43	46.40	34.70	0.00	5.73	165.13	inf	0.00
2021-03-20	14.00	10.00	1.00	17.00	0.00	0.00	1.33	0.67	0.50	0.52	0.50	0.03	7.04	1.76	46.46	46.42	51.70	0.00	5.52	106.77	inf	0.00
