fecha,hora,Real prescription,real Irrigation,deficit 
2021-06-01,15:45:00.039340,0,0,0
2021-06-01,15:45:00.039340,0,0,0
2021-06-01,15:45:00.039340,0,0,0
2021-06-11,23:57:00.043050,0.1,0,0
2021-06-18,10:30:00.059073,0.0,0,0
2021-06-18,10:37:00.052456,0.0,0,0.8302476154939158
2021-06-18,23:50:00.050991,0,0,0
2021-06-19,23:50:00.055682,0,0,0.0
2021-06-20,23:50:00.054629,0,0,0
2021-06-21,23:50:00.103482,0.0,0,0.8034310076975022
2021-06-22,23:50:00.075577,0.0,0,3.078633121451954
2021-06-24,23:50:00.049168,0,0,0.0
2021-06-27,23:50:00.051726,0,0,0
2021-06-28,23:50:00.085920,None,0,0.0
2021-06-29,23:50:00.082431,None,0,0.0
2021-06-30,23:50:00.115851,None,0,0.0
2021-07-01,23:50:00.064240,None,0,0.0
